tmstmp, lat, lon, vid, rt, pid
20230816 15:04:24,29.640206892983898,-82.34619531823041,2113,25,500626
20230816 15:04:35,29.64603833333333,-82.32260999999998,708,1,477
20230816 15:04:51,29.64603833333333,-82.32260999999998,708,1,477
20230816 15:05:07,29.64603833333333,-82.32260999999998,708,1,477
20230816 15:05:01,29.607219,-82.439258,4378,150,194
20230816 15:05:23,29.64603833333333,-82.32260999999998,708,1,477
20230816 15:05:16,29.607219,-82.439258,4378,150,194
20230816 15:05:38,29.64603833333333,-82.32260999999998,708,1,477
20230816 15:05:31,29.607219,-82.439258,4378,150,194
20230816 15:05:38,29.64603833333333,-82.32260999999998,708,1,477
20230816 15:05:47,29.607219,-82.439258,4378,150,194
20230816 15:05:54,29.64603833333333,-82.32260999999998,708,1,477
20230816 15:06:02,29.607219,-82.439258,4378,150,194
20230816 15:06:10,29.64603833333333,-82.32260999999998,708,1,477
20230816 15:06:18,29.607219,-82.439258,4378,150,194
20230816 15:06:26,29.64603833333333,-82.32260999999998,708,1,477
20230816 15:06:18,29.607219,-82.439258,4378,150,194
20230816 15:06:41,29.64603833333333,-82.32260999999998,708,1,477
20230816 15:06:38,29.607219,-82.439258,4378,150,194
20230816 15:06:57,29.64603833333333,-82.32260999999998,708,1,477
20230816 15:06:55,29.599125325194475,-82.42074591092762,4378,150,194
20230816 15:07:12,29.64603833333333,-82.32260999999998,708,1,477
20230816 15:07:28,29.64603833333333,-82.32260999999998,708,1,477
20230816 15:07:44,29.64603833333333,-82.32260999999998,708,1,477
20230816 15:08:05,29.645546,-82.322725,708,1,477
20230816 15:10:18,29.6796246,-82.43188,1807,43,500612
20230816 15:10:32,29.6796246,-82.43188,1807,43,500612
20230816 15:11:04,29.645546,-82.322725,2102,26,453
20230816 15:11:20,29.645546,-82.322725,2102,26,453
20230816 15:11:35,29.645546,-82.322725,2102,26,453
20230816 15:57:45,29.642476666666667,-82.27156166666667,710,11,4
20230816 15:57:45,29.642476666666667,-82.27156166666667,710,11,4
20230816 15:57:45,29.642476666666667,-82.27156166666667,710,11,4
20230816 15:57:45,29.642476666666667,-82.27156166666667,710,11,4
20230816 15:57:45,29.642476666666667,-82.27156166666667,710,11,4
